"v1_source_file","v1_json_path","v1_example","v2_table","v2_column","required_level","visibility","transform_rule","missing_rule","validation_rule","notes"
"build/v1/serving/faculties/{id}.json","id","kasidit-chanchio","faculty","public_slug","required","PUBLIC","preserve as-is","fail record if missing","must match slug pattern and be unique","V1 public URL slug must not be regenerated"
"build/v1/serving/faculties/{id}.json","id","kasidit-chanchio","faculty","id","required","PUBLIC","generate deterministic internal id such as fac_{id}","fail record if missing","must be stable across imports","Internal id may differ from public_slug but should be deterministic"
"build/v1/serving/faculties/{id}.json","name.th","ผศ.ดร.กษิดิศ ชาญเชี่ยว","faculty","name_th","conditional required","PUBLIC","trim text","allowed null only if name.en exists","at least one of name_th or name_en required","Preserve original Thai display text"
"build/v1/serving/faculties/{id}.json","name.en","Asst.Prof.Dr. Kasidit Chanchio","faculty","name_en","conditional required","PUBLIC","trim text","allowed null only if name.th exists","at least one of name_th or name_en required","Preserve original English display text"
"build/v1/serving/faculties/{id}.json","academic_position","ผู้ช่วยศาสตราจารย์","faculty","academic_position","optional","PUBLIC","trim text","null if missing or empty","none","Do not infer rank from name prefix"
"build/v1/serving/faculties/{id}.json","contact.office","อาคาร LC-2 ชั้น 2 ห้อง 210","faculty","office_public","optional","PUBLIC","trim text","null if missing or empty","none","Public contact field from V1"
"build/v1/serving/faculties/{id}.json","contact.phone","0-2986-9156","faculty","phone_public","optional","PUBLIC","combine phone and extension when extension exists","null if both phone and extension missing","phone text should be display-safe","Recommended format: phone ext. extension"
"build/v1/serving/faculties/{id}.json","contact.extension","200","faculty","phone_public","optional","PUBLIC","append to phone_public when contact.phone exists","ignored if missing; preserve raw in source_record","none","No dedicated extension column in schema"
"build/v1/serving/faculties/{id}.json","contact.email","ckasidit@tu.ac.th","faculty","email_public","optional","PUBLIC","trim lowercase for validation; preserve display if desired","null if missing or invalid by policy","must look like email","Invalid email should be warning/error not silent correction"
"build/v1/serving/faculties/{id}.json","profile_image.url","https://cs.sci.tu.ac.th/wp-content/uploads/2021/02/5-scaled-e1612367119916.jpg","faculty","profile_image_url","optional","PUBLIC","trim URL","null if missing","must be URL if present","Image remains public asset reference"
"build/v1/serving/faculties/{id}.json","profile_image.alt","ผศ.ดร.กษิดิศ ชาญเชี่ยว","faculty","profile_image_alt","optional","PUBLIC","trim text; fallback to display name only with warning","null or fallback if missing","none","Fallback should be deterministic"
"build/v1/serving/faculties/{id}.json","constant","PUBLIC","faculty","visibility","required","PUBLIC","set constant PUBLIC","use PUBLIC for V1 serving records","must be PUBLIC INTERNAL or RESTRICTED","V1 serving data is public-safe"
"build/v1/serving/faculties/{id}.json","constant","ACTIVE","faculty","status","required","PUBLIC","set constant ACTIVE","use ACTIVE","must be ACTIVE or DELETED","V1 does not represent deleted faculty"
"build/v1/serving/faculties/{id}.json","education[].degree","Ph.D.","faculty_education","degree","optional","PUBLIC","trim text","null if missing","none","One row per education item"
"build/v1/serving/faculties/{id}.json","education[].field","Computer Science","faculty_education","field_of_study","optional","PUBLIC","trim text","null if missing","none","V1 uses field; V2 uses field_of_study"
"build/v1/serving/faculties/{id}.json","education[].institution","Louisiana State University","faculty_education","institution","optional","PUBLIC","trim text","null if missing","none","Preserve institution display text"
"build/v1/serving/faculties/{id}.json","education[].country","USA","faculty_education","country","optional","PUBLIC","trim text","null if missing","none","Do not normalize country names in #49"
"build/v1/serving/faculties/{id}.json","education[].graduation_year","2543","faculty_education","graduation_year","optional","PUBLIC","parse integer; preserve source year system","null if missing or non-numeric","integer when present","Do not auto-convert BE/CE without later decision"
"build/v1/serving/faculties/{id}.json","education[] index","1","faculty_education","display_order","required","PUBLIC","preserve V1 array order as 1-based order","use array index if missing","integer >= 0","Schema uses display_order"
"build/v1/serving/faculties/{id}.json","research_interests[]","Fault Tolerance","faculty_interest","interest_type","required","PUBLIC","set constant RESEARCH_INTEREST","no row if array missing","must be allowed interest_type","One row per unique interest"
"build/v1/serving/faculties/{id}.json","research_interests[]","Fault Tolerance","faculty_interest","value","required","PUBLIC","trim text; dedupe exact/casefold per faculty/type","skip empty string","non-empty text","Preserve first occurrence spelling"
"build/v1/serving/faculties/{id}.json","expertise[]","Data Mining","faculty_interest","interest_type","required","PUBLIC","set constant EXPERTISE","no row if array missing","must be allowed interest_type","One row per unique expertise"
"build/v1/serving/faculties/{id}.json","expertise[]","Data Mining","faculty_interest","value","required","PUBLIC","trim text; dedupe exact/casefold per faculty/type","skip empty string","non-empty text","Do not merge with research interests"
"build/v1/serving/faculties/{id}.json","selected_publications[].title","Multi-Container Application Migration with Load Balanced and Adaptive Parallel TCP","work_item","title","required","PUBLIC","trim text","skip publication if missing","non-empty text","Also maps to publication_detail.publication_title"
"build/v1/serving/faculties/{id}.json","selected_publications[].title","Multi-Container Application Migration with Load Balanced and Adaptive Parallel TCP","publication_detail","publication_title","required","PUBLIC","trim text","skip publication if missing","non-empty text","Primary display title"
"build/v1/serving/faculties/{id}.json","selected_publications[].citation_text","Thongthavorn ... 10.1109/HPCS48598.2019.9188218.","work_item","description","optional","PUBLIC","preserve citation text","null if missing","none","Schema has no citation_text column; raw also preserved"
"build/v1/serving/faculties/{id}.json","selected_publications[].year","2019","publication_detail","publication_year","optional","PUBLIC","parse integer","null with warning if missing or invalid","1900 to 3000 if present","Do not infer year"
